Q1 answer,Q2 answer,Q3 answer,Q4 answer,Q5 answer,age,gender,occupation
1,1,9,difference denying feminism,no,17,m,student
4,1,10,difference denying feminism,no,19,f,student
2,1,9,difference denying feminism,no,30,m,hotel front desk attendant
4,1,8,difference denying feminism,no,29,f,restaurant supervisor
3,1,10,difference denying feminism,no,25,m,student
5,1,7,difference denying feminism,no,28,f,grad student
4,1,9,difference denying feminism,no,31,f,student
7,1,8,difference honoring femenism,no,20,f,student
2,1,10,difference denying feminism,no,22,m,student
5,1,10,difference denying feminism,no,21,m,restaurant team member
